,train,test
0,26.24334716796875,84.97948455810547
1,21.357166290283203,80.90936279296875
2,20.49542808532715,78.95230102539062
3,20.28828239440918,78.14230346679688
4,20.249637603759766,78.0014877319336
5,20.29998207092285,77.92659759521484
6,20.253889083862305,78.03573608398438
7,20.270273208618164,78.0879135131836
8,20.257139205932617,78.17774963378906
9,20.245685577392578,77.97175598144531
10,20.30698013305664,78.08195495605469
11,20.265010833740234,78.19086456298828
12,20.24123764038086,77.89701843261719
13,20.238780975341797,78.01441192626953
14,20.26689910888672,78.05853271484375
15,20.262367248535156,77.63324737548828
16,20.241313934326172,78.0303726196289
17,20.24608039855957,77.8514175415039
18,20.311553955078125,77.64679718017578
19,20.29882049560547,78.06401824951172
20,20.317461013793945,77.9046630859375
21,20.311681747436523,77.97862243652344
22,20.2540340423584,77.26039123535156
23,20.23464584350586,76.91316986083984
24,19.4987735748291,74.316650390625
25,17.004730224609375,68.0630111694336
26,15.170430183410645,62.5308952331543
27,13.619527816772461,57.23587417602539
28,22.26511573791504,76.8683853149414
29,20.339887619018555,77.90040588378906
30,20.383167266845703,78.0486831665039
31,20.348356246948242,77.70803833007812
32,20.34512710571289,77.9329833984375
33,20.40247344970703,77.93872833251953
34,20.326431274414062,77.58892059326172
35,20.30016326904297,77.7874984741211
36,20.336721420288086,77.62242126464844
37,20.329999923706055,78.02240753173828
38,20.28988265991211,76.89251708984375
39,20.3315372467041,77.92154693603516
40,15.211845397949219,57.885597229003906
41,12.393427848815918,52.09733581542969
42,10.921932220458984,46.41274642944336
43,9.512221336364746,40.88404846191406
44,8.476094245910645,61.60401916503906
45,7.347010135650635,31.38884735107422
46,6.597052574157715,27.302858352661133
47,5.778357982635498,24.145238876342773
48,5.2502851486206055,53.2073860168457
49,4.845592021942139,16.761014938354492
50,4.388059139251709,14.616576194763184
51,4.226858139038086,12.520922660827637
52,4.2665839195251465,34.87902069091797
53,3.8971505165100098,19.359617233276367
54,3.7552452087402344,10.553716659545898
55,3.755108118057251,11.21109676361084
56,3.6495201587677,60.02492141723633
57,3.7982053756713867,47.1652946472168
58,3.663922071456909,17.801860809326172
59,3.472020387649536,15.336865425109863
60,3.446526288986206,12.393031120300293
61,3.40604829788208,7.626072883605957
62,3.321467399597168,17.06045150756836
63,3.2766518592834473,21.2977294921875
64,3.284621477127075,26.118846893310547
65,3.2758567333221436,13.462960243225098
66,3.1889686584472656,7.2633514404296875
67,3.28836727142334,16.77971649169922
68,3.1645758152008057,19.67425537109375
69,3.1357598304748535,5.780448913574219
70,3.4558145999908447,13.436173439025879
